model_uid,lvis_category,caption
057c23c4c87346dd97d2d7494924c4c9,toy,dinosaur toy
068aff6df82347f999612a605c94b9ca,vase,gray vase
052924782ec35f5f09621dbbc33aa1e558882c3c603043700e3fe91df7aee431,car_(automobile),car body panel
03211662a8603958a2655b9fd99bca47cb7c96c4cd41a3fb04a49091f7f27e99,chair,abstract geometric sculpture
057813aacfa98ee3f29fa077273873f7e593aaaf79159180ba714ee41ecd5411,cube,gray geometric block
06fff3903e4f467895b0400c51565d9d,cylinder,gray helmet
ee279b9cb0d3706c16ed47f4ee22207f737aec37ebe21f42954b530269b3d2a8,figurine,Lego minifigure
043dd276646841e293e30cc661e367f5,gun,revolver pistol
0793538438ed4edd8bb865d699c23849,pottery,ceramic vessel
ddcfb5f96ec746038923dfe1ae0eccc1,sculpture,stone statue
086a2d6316244f2790a896b5cb4bda7d,statue_(sculpture),broken sculpture fragment
0bb9b3f25984cbc00b677f81233577849665a01b7e3b71b170caf2e914c4c594,table_lamp,ceramic vase with lid
061a9d5aeb61497a872c1df0e741e906,toy,rocket
0adcf414cc4e4169bebe35cbca98e5a7,box,gray geometric block
035d9ce9964b42f6bc20514853934d1b,chair,modern chair
05f7134267964ae09d0ff580bc1ced73,cube,abstract geometric sculpture
07ca3b2680c4736e6d2d8ad94026bbf47c5a44e895a957ee95ee965230f93067,cylinder,coin
e3960231d89769e4f47b8b1abb9c845251a7b74e992f5d27d06f120b6388915f,figurine,humanoid figure
04a9f3ccb5b14dc38a28b27c1916e18e,gun,gray futuristic pistol
0813548ce2fc163d8d87fb864dc301f337340876826176fd7982b2043591d9e0,pottery,ceramic jug with handle
877fd5fa69994c87b869ff91deedcb50,sculpture,low-poly beanie hat
08e66d6c9de64fef9c3f76507d9c34bd,statue_(sculpture),statue of a figure
03a0021a875347c898f1004a9b19d2f6,sword,sword
0cc3043422734e42962619aff15d18de,table_lamp,abstract geometric sculpture
07c5dadd382b4a29adf71c18b56c5242,teapot,teapot
07e01bf126014b3ca2dea733179a3d82,vase,gray vase
0b67f80c1f13436c9e17e52fec7fa40f,box,gray rectangular block assembly
039c6026571943d6ac45c6816bcc7ff1,chair,rocking chair
067f80520c67052b1eab864f75453705cd6ca96cb21075edf66fe84c0d2a5ad1,cube,wooden crate
89b4ece2a2c745ab9360a785a0420a4e,figurine,abstract human figure
04ef42019f454611994a70e7d24911e0,gun,gun
08a18b6d155646fd9a366b78e18e5a41,pottery,ancient Greek vase
5d46492146cb493b982da85353f0bcdb,sculpture,gray blocky object
03ed3365477449f8b8f7fc6053cb8398,sword,sword
0e99ee1ad5bf9668a254d69be131f525323a803e6c1eb4088b57b51d81fe518c,table_lamp,metal chair
08bfe649a2394ecf90c326eaf5fd71b9,teapot,teapot
0762da724d5045b7bf400906c50496ef,toy,stylized flower-like creature
088b147dd3e4498094ee95a2ac905a4d,vase,gray stone block
0cfd58d1b8044ef168a595a9f2d54e1b8b2d9ec522acd8a1e711bb32954a918b,box,unstable table
060276ace3934b51bd40726255f7ffb3,car_(automobile),abstract vehicle model
03dcf530026741e19eb363c703d4af43,chair,chair
0721e63efe10461196301e70ad1300fa,cube,gray box with slot
08d42350c28bfdaa376f79b7289e8b305c93cbebdd0820598af1d1eba6ab7750,cylinder,cylindrical object
da270434e318b8c7e1a1bb10a74d2e987e4a0b2a6e4c2987aac4849dcc369117,figurine,stylized humanoid figure
094561ab1df24b31b3b65b891a7b34dc,pottery,ceramic vessel
228a96dce877487181439655726c23ba,sculpture,abstract geometric sculpture
0b2664656ff8416499d86d8078ae755f,statue_(sculpture),statue on pedestal
0fa68527be1944f599147a467bc56ec6,table_lamp,table lamp
082d9dbd792a47d8a06ef19fea0fbb05,toy,spiky wheeled vehicle
091355f08ce87459938b7a4c314ef46c8e4d6f97b00b634229ac505f063948f4,vase,stone tool fragment
064f6615bb114eb0b9fadd48647e19df,car_(automobile),car
0424903ec8e947eda5832dab97f9cfb3,chair,modern folding chair
07c6fa4cfa05420d89d85cf791bf8a6b,cube,geometric block
09bceb2a29ccc2b425eab2818a4fd4b48fb15321e3753b8958df7ef4d2c25200,cylinder,gray stone object
32a67040703143508791632111132691,figurine,stone object
059dfdc31fe84d638eb9da3a8347fc72,gun,revolver pistol
0a293d39c3d8a285cef9e4b428474c603b00516ba1eb87c24786fc3737a147c3,pottery,stone object
4aea12f6d4b84266ae81d267088675ee,sculpture,abstract gray sculpture
0bd8088f92be4a39a3c8a7faafbf897f,statue_(sculpture),horse statue
047927d7d9bb49cf9582736284d02e56,sword,sword
10fda7c1d2cb4d1988f2ffa3cd5e114f,table_lamp,frying pan with handle
09be8968323142c9a97b82ff438c67e5,teapot,teapot
08d8f46605c2478d99f7791ed717a207,toy,mechanical claw or gripper
09d331169e7d4ce698c4f6bdddcfa0e0,vase,abstract scribble
0681edb4bde849529ff846c548f9220e,car_(automobile),car
0462179e5266ce9be2a0da4ba2cd7767b8520f8922267eaf0d162ed62141c288,chair,two spherical objects
07ff87a4d1c2223d18abd2cf106e5560ce5ed7d8e0777c99900275a4ee977334,cube,gray cube
0a5efc79e3913fc18d9835e5ba7d6d2d80a5f5203515050544a4225ecef5bf38,cylinder,treaded wheel
eed57df9dc6642a9b1d2a9c84dbf6821,figurine,bear-like animatronic figure
05ddbb49800b4cd48e415f50d2077990,gun,assault rifle
0b1179e852a14886b45f4ccaab0760ca,pottery,gray bowl
0ac33b0a7c4a4d8bbe60d7130575fc52,rifle,rifle
27206fc1662e6fe6ea00f9614a096ed25328d7f9ca18309c35aa0a1ef4f5beb6,sculpture,face mask
0d09c9f09e534dbbbe33c0dafbd97bce,statue_(sculpture),statue of figure with draped garment
04d2695421974db8b0d3e144437b347f,sword,sword
11cbf67ca83e704c95df02da9224076856a39de503b2e280c4a8384419f21d62,table_lamp,abstract tool-like object
09efd691669b4b528d71086588dbdf35,teapot,teapot
0958b935683c43669e2042a42397466a,toy,glass with lid
0a486116c75f46759a513a6a8db2186a,vase,vase
0febce14813446a2b1d3d9105a6e2590,box,gray geometric solid
06f85359f8057fdf65e92f3861db7fb42a88e560a27aef7dd5566d0037fe24fc,car_(automobile),vehicle model
049ded39f07c4952ab46474c8393356c,chair,office chair
084843d4c5e4ceb897f0c0102abe99c5bc35bacc2046575cc5a64cb7fbede8c6,cube,geometric block
0ac239f6794f4c72866a206ad421f353,cylinder,cylindrical object with two holes
ce696793c81aee4de576cbd07e20e3186ec142eb20bda23a19799e93372d9e9a,figurine,low-poly character model
063cb20627ea40b0915f9d9eeb65c8dd,gun,fishing rod
0bc6c66de34745f88ee61ad10f73b476,pottery,gray ceramic mug
0b874f5f15b84cc7b7f0f324ce794429,rifle,scope
3a1d617fc7e36a7a6150ee2d7825ad9ffcc28ed378b5a678d28d560efae34e0a,sculpture,abstract figurine
0e528691e9e84e6788a93e45d661c0c3,statue_(sculpture),person bust sculpture
052ae03fa6bb2c3f2a9233c935faeaeb5117b3e48036d468c17caf8bd5542e47,sword,knife
130000920783e8985870cf6e32822a717ff03722024d31b1da0b734d02cc53e5,table_lamp,lamp on side table
0a858e72734e45ba8b53a5023a6b4e10,teapot,teapot
09f55cf310f94daa91a478787c73852d,toy,gun
108e22790a66478fa419bffe23b0c80f,box,gray rectangular block
078d34d282809e0d5a671d0286a229a3bbc2b51ff13875582aadb4532ea0668e,car_(automobile),car model
0527f07e9441651cc19c85528b3e8dfa79647cec5abdc6309dc6b27fba6952e7,chair,futuristic vehicle
0bba127a22db82266b95dd4478370c92a17a1e8d0df5b2208effb869843137e9,cylinder,abstract geometric sculpture
69d77323f3f38c74ffde6c63d314a9e9efa034178f01b8ed480e6095b480b0eb,figurine,human figure silhouette
068c7dc5a5564f928cd387842aeb61c4,gun,gun
0c329028f659473f869334bdc2e2710c,pottery,low-poly clay pot
0bc11b94512c453e84d2892abc710294,rifle,gun
70c5cba13c7b44c7a65fc761572e211b,sculpture,flying horse statue
0ef8948879b54309a090d5d69bd86c70,statue_(sculpture),abstract sculpture
0592d6d7010248fb93e561079f90083c,sword,humanoid figure
136c44990dae4b5f878f12b55ae8e576,table_lamp,lamp
0a6804a7d5134393bfa212892adc1e32,toy,sword
0b53c30831b8b5b13f0a6d75a1ddd23fec8d0e70bab8d8327893e3553ad93b94,vase,gray ceramic vase
07be8df93d044abba12d6daa37976d5a,car_(automobile),car on inclined ramp
0570ba6e67be47e293519a175a5e1bcd,chair,wooden chair
0933750447eb4868a45ad552e024eb9e,cube,gray cube
0c46b8d813b41ab02c311bbfb5809fbe8c57444a2da3ee7f25d00ce8e15cf75c,cylinder,cylindrical tube
e8963249c765d073bb4366ff571d060037f056ed88343147d5223002c84be1bb,figurine,humanoid figure
06de0503a094db2ef9ec3f5ee87690bc355782c75cc2490d976741660ec16642,gun,rocket launcher
0cbe6921c9d5458dab653d430369938e,pottery,fragmented stone piece
045a9298f2734b5bb96198f4dd0e73bf,sculpture,abstract gray sculpture
0f7535dc9dd1492e842cd6b2d23f4885,statue_(sculpture),abstract human figurine
05cf53304e6c45ccbf2d65a9d7c54f99,sword,curved blade weapon
0bc520179e2943738a7dd89b5ca44bb1,teapot,teapot
0ac7983e2d104b4fab35be053d6c747d,toy,truck
0bd85b44a55b4c8e84ac103e3fd5855a,vase,sword
07f7a6c9a45411c46e2d365881b841ec4bbf92263c3ff761dd7bd2a96289b68a,car_(automobile),car model
05c21404422745acb803ce68ada3681d,chair,spindle-back chair
098987c9c9f449ae9b6e5883ea382b5c,cube,geometric block
0cb52a4a0b209dd5906d9b1156b8a175d7be423b67b95aedf8c3b337c1500232,cylinder,cylindrical tube
af1bc77a8449489689d45601dbc9ec8a,figurine,abstract humanoid figure
0d2a07dcbfe84046bf76a7dd3292a5ae,pottery,ancient ceramic vessel
0d3026ecafbe47dba07c8cdb4064d0a5,rifle,rifle
0fe11f0b4bd2b45c32c5cb54c4c9d6b486b5f9ed177896faea8c87487484d7cf,statue_(sculpture),girl with box
060fcb22bb9a456380f13cac38e6e740,sword,sword
0caa0396cb5c66b13e586f189b907049b824a0a918538c93107386d02622a6c0,teapot,teapot
0b5f278591d82906cafc2281a029f6588bb9135be4abfbd079fb1ea176483f52,toy,abstract geometric sculpture
0d2e0fb6226f4e3f91c1c8e62abd3ec0,vase,drum-like container
132d995c35f1480889ff544734ca86cf,box,gray rectangular block
082fdf22ee8646ea93aad00d3698b07f,car_(automobile),abstract sculptural form
0a45c14a30234bb7b7d3cf89eae0700b,cube,broken framed box
0d4e5388d9ee4a48bbcd1928a93c62c0,cylinder,cylindrical container
cd3d3a2cb25f8a691f024be3a021b94e8903b32934e1572ddaef4697f358a959,figurine,humanoid figure
07bc578d489d45c3ab3e57032ccd77d1,gun,gun
0e410cc7dcf14d1eb5cb2ea77e9060a3,pottery,textured bowl
0def23d9589cf5f2d723cf93df133938d2b233d53621ae89639632040b679375,rifle,assault rifle
a58af7bd939d46fca4eb46e43588944f,sculpture,abstract figurine
105a3db383874f858ea8ec37568b7de5,statue_(sculpture),statue on pedestal
1679ad948aece679d3b90ea38815890fb3399919e60edea80fae456f0e44530b,table_lamp,desk lamp
0d50946267774356950d27a6b5659ab9,teapot,showerhead
0c052b9f8b7d48c79d6cf26e0c0995af,toy,abstract animal figurine
0db01abe3f89440393d3454e16b61f7f,vase,vase
13dc119e3dfe4bb9bdf6861d22d63bce,box,gray rectangular block on surface
08878847fc2e4299a5612acbbebf184c,car_(automobile),car model
065e7003cb7bb1aa8432fdeb52e0eb4f642b38cd909c84f265a733b5ca29fc5a,chair,foldable chair
0af5b07b345e65651c902d85dc87a7b6bb70c4a085fc728948a4c953830df109,cube,gray cube
0de304e3653549b3a9403b73fb604c53,cylinder,gray cylinder
565450da351e4f3581eeb41b8b9661d0,figurine,musical instrument
07fbab64d0a24f2ba83fbb4aed213262,gun,block-style firearm
0ea3941d182e4b978eb683c5e9d2c892,pottery,gray ceramic vase
58ed0071e1d578ee5e7b1ddf943abd1e89a23936d80fecd7a023a59fd967f386,sculpture,abstract human figure statue
10e529658b8c41b382b1f79635cb4384,statue_(sculpture),statue
072082b4df0b401f82ae6689c5231d29,sword,metal rod with rounded end
17b5790cd1cc43f2a5591602fd803916,table_lamp,pendulum clock
0dc57bda07ed4e8292d9f7332e78ae59,teapot,teapot
0cc7073196cf4ce8aeb91c3fce99a928,toy,gray abstract humanoid figure
0e3ac6e6079a126239fe2f3bb78ec596e6f7edbf9b6be2c7b93e1d381a7bbf70,vase,hexagonal canister
16066265712c2a0ebddd31841ae46484e0ad23e9ad9f725695cbcadaace8c486,box,gray box-like container
08bc556c160b4e1b9dcb3d11a841f8cb,car_(automobile),car-shaped electronic device
06bfde202f23cf2051cadde8ffe5ac3629959a0b35a03a22d34b1f0285a89d2a,chair,stool with backrest
0b7ef81cb39a4596bd8e957f90d3e6db,cube,gray textured block
0ebd7cf6cf6c9191f09274a246804ae91e60b855da78449f89f678d6c3dbfb3f,cylinder,pipe elbow
087239d54d7f435d8bb7f6d6169ea427,gun,revolver pistol
0f9d8fd5d3c34ceb825fdd87bb72890c,pottery,textured ceramic pot with handle
0f25cf40eb4c0648f15109f552fa7318e0f103ec1e491273fc660df6a3548b6f,rifle,rifle
2c0c8518859188dd59b6664e6598a14245dc69a514f79c6feaba3ef55fb2f5ec,sculpture,abstract geometric sculpture
1140ec3019e64fbabb40b426dde6394d,statue_(sculpture),bust sculpture
07c7bbd8684541dc888ee922a9669a00,sword,sword
1916fe381af84d15245c5e911fceaf029d2a023e0e190e1ae36ef4721b5ab731,table_lamp,lamp
0e81cc88c7db4556af100ee291e54e3c,teapot,top hat
0de83bfbd2bf659ff761bee9c04ec3d0544b1f70245a0d4d2bc5b43fc247ddf8,toy,balloon animal airplane
0ed20b00be97485ba0d250e7741c9bff,vase,gray teardrop-shaped object
175869a4e54344478626a2a6580b7d57,box,gray rectangular box
08fae50a7c2b4c6cc82297276033fbd50ba3c2458cd0ec237c41fc4236e65983,car_(automobile),skateboard
071261096d5e4bc28a9ed3009005b01f,chair,modern outdoor lounge chair
0bf33aa3d30eac020dd2971120b59af1bb6d20218507ffcb512956ed17536df4,cube,metal walker frame
0fc75790d15e456b8442c53264d3068d,cylinder,gray cylindrical container
ac464cf21a23928e4e4196e19b4c6e0b3c96e6efb535212b9ee225a66ac90666,figurine,abstract human figure
08dfd6795f0c460aba78a653d12ffd1f,gun,futuristic pistol
10122ac480354d5ead47a9ed62c2326b,pottery,cracked clay vessel
0fb1cea6fd1748e49d129f63d306d819,rifle,rifle
a5ae0215f0304cf3867cb76c758411a6,sculpture,statue on pedestal
11975b29faef4e10a3d284b93f842ecd,statue_(sculpture),monster figurine
1a0dab5d39874f33bf93de12c8532c7b,table_lamp,adjustable desk lamp
0eeea4ac3579c70601549c906f92675273afcbaadcec7e7f365244d4e5129c50,teapot,teapot
0e866faaa34e09c18a2ff45074f9866968fc0453d8c1db9565ecbb85132a1849,toy,falling cartoon character
0fd37caf702e4b9da8acb2911b86779c,vase,textured vase
195f5d943edb4c88844c907f372c5af4,box,box with openings
094018dad38a0c2939387e8126c2d587f571fe1fe3591101131c209ad50d0bc3,car_(automobile),car body
0741a1a111de40c5bd71238c54c0d361,chair,abstract geometric sculpture
0c7a415db2e6475fbfbe05f189129fc2,cube,gray geometric block
10333ff1a9f85c0ebe8455c8ac0ca13d3c1d31330a90bc0457c71bfb91c35ca9,cylinder,cone-shaped container
de62a10fee124d55bacadd671970188e,figurine,person on hexagonal platform
0958d7ece16d430f90a379b7192fe4b4,gun,gray stone slab
111b1373370645519e57622a952b1d29,pottery,ceramic pot on pedestal
10246c957a6443fba40cf542a36a38cf,rifle,gun
b73d2516c0834bc089f98ef6b5e3c311,sculpture,sculpted headpiece
124b205a64dd4b49b2984feb752f9abc,statue_(sculpture),statue on pedestal
08c4049a6a004b47a033202a7096405e,sword,sword
1b8ac8be4e5a45cf826cfbaf0c82433b,table_lamp,adjustable desk lamp
0f6c532001744c36804241a5ce2ac407,teapot,teapot
0f59c9a8d131435faa5c572bdfacd08d,toy,stone pot with lid
11b2313b5c82410592344d6d3b009f25,vase,flared vase
1bad6e35f3dc5916fa50fb4eae0983bf91ce32062043122625460ceb944070e2,box,gray geometric block
0a12d924a47649a3a28acbfc18c3c33c,car_(automobile),car model
078c4e8f591d4b8c95214bd282fd279a,chair,armchair
0cc67966d41f8119d137ff92abc7012c234d4d735a4b18310a071d079309ee5a,cube,abstract geometric sculpture
10ebed33cd164754865ae7f62d83559d,cylinder,cone-shaped object
aeba11cc315bfcfd19ec9a2ec2eaf0b155ce34d50cae4ded6f51b07d924f643b,figurine,humanoid figure
09aa0911c1674472b4b022918dd8abab,gun,rifle
121adcf9239b40a2991f316e4c0ec463,pottery,vase with handle and legs
10becc2db19e4405bb09e94936d90432,rifle,assault rifle
6558f5b82eae4117b00a3b8efb76002c,sculpture,abstract sculpture
08f95a346f68482d9b025fd5d68b0e24,sword,watch hand
0ffec00a8eb248afad6e6b01ecbc159f,teapot,teapot
12d33bdd90c64024af13cc7cf9bd2755,vase,gray vase
0a629ab43de44ac69f8df95e6788542b,car_(automobile),car with person figure
0d4915c7597941a3036f3d42d4c058438dc8bf70c16557f6e9ae9b7e826c761d,cube,gray geometric block
1136b76b0c4b40ccbc0ba45824fa4d74,cylinder,three-part mechanical assembly
